day,status,type,typename,unixtime,nonglicn,nongli,shengxiao,jieqi,weekcn,week1,week3,daynum,weeknum
20190101,1,2,节日,1546272000,十一月廿六,11月26日,狗,冬至后,二,Tue,Tuesday,0,1
20190102,1,0,工作日,1546358400,十一月廿七,11月27日,狗,冬至后,三,Wed,Wednesday,1,1
20190103,1,0,工作日,1546444800,十一月廿八,11月28日,狗,冬至后,四,Thu,Thursday,2,1
20190104,1,0,工作日,1546531200,十一月廿九,11月29日,狗,冬至后,五,Fri,Friday,3,1
20190105,1,1,假日,1546617600,十一月三十,11月30日,狗,小寒,六,Sat,Saturday,4,1
20190106,1,1,假日,1546704000,腊月初一,12月1日,狗,小寒后,日,Sun,Sunday,5,1
20190107,1,0,工作日,1546790400,腊月初二,12月2日,狗,小寒后,一,Mon,Monday,6,2
20190108,1,0,工作日,1546876800,腊月初三,12月3日,狗,小寒后,二,Tue,Tuesday,7,2
20190109,1,0,工作日,1546963200,腊月初四,12月4日,狗,小寒后,三,Wed,Wednesday,8,2
20190110,1,0,工作日,1547049600,腊月初五,12月5日,狗,小寒后,四,Thu,Thursday,9,2
20190111,1,0,工作日,1547136000,腊月初六,12月6日,狗,小寒后,五,Fri,Friday,10,2
20190112,1,1,假日,1547222400,腊月初七,12月7日,狗,小寒后,六,Sat,Saturday,11,2
20190113,1,1,假日,1547308800,腊月初八,12月8日,狗,小寒后,日,Sun,Sunday,12,2
20190114,1,0,工作日,1547395200,腊月初九,12月9日,狗,小寒后,一,Mon,Monday,13,3
20190115,1,0,工作日,1547481600,腊月初十,12月10日,狗,小寒后,二,Tue,Tuesday,14,3
20190116,1,0,工作日,1547568000,腊月十一,12月11日,狗,小寒后,三,Wed,Wednesday,15,3
20190117,1,0,工作日,1547654400,腊月十二,12月12日,狗,小寒后,四,Thu,Thursday,16,3
20190118,1,0,工作日,1547740800,腊月十三,12月13日,狗,小寒后,五,Fri,Friday,17,3
20190119,1,1,假日,1547827200,腊月十四,12月14日,狗,小寒后,六,Sat,Saturday,18,3
20190120,1,1,假日,1547913600,腊月十五,12月15日,狗,大寒,日,Sun,Sunday,19,3
20190121,1,0,工作日,1548000000,腊月十六,12月16日,狗,大寒后,一,Mon,Monday,20,4
20190122,1,0,工作日,1548086400,腊月十七,12月17日,狗,大寒后,二,Tue,Tuesday,21,4
20190123,1,0,工作日,1548172800,腊月十八,12月18日,狗,大寒后,三,Wed,Wednesday,22,4
20190124,1,0,工作日,1548259200,腊月十九,12月19日,狗,大寒后,四,Thu,Thursday,23,4
20190125,1,0,工作日,1548345600,腊月二十,12月20日,狗,大寒后,五,Fri,Friday,24,4
20190126,1,1,假日,1548432000,腊月廿一,12月21日,狗,大寒后,六,Sat,Saturday,25,4
20190127,1,1,假日,1548518400,腊月廿二,12月22日,狗,大寒后,日,Sun,Sunday,26,4
20190128,1,0,工作日,1548604800,腊月廿三,12月23日,狗,大寒后,一,Mon,Monday,27,5
20190129,1,0,工作日,1548691200,腊月廿四,12月24日,狗,大寒后,二,Tue,Tuesday,28,5
20190130,1,0,工作日,1548777600,腊月廿五,12月25日,狗,大寒后,三,Wed,Wednesday,29,5
