,城市,日期,最高气温,最低气温,天气,风向,风力,空气质量指数,空气质量,节日属性
0,杭州,2020/8/1,36,27,阴~多云,南风,3级,25,优,1
1,杭州,2020/8/2,36,27,多云,南风,3级,28,优,1
2,杭州,2020/8/3,35,26,多云,东南风,3级,25,优,0
3,杭州,2020/8/4,31,25,小雨,东北风,3级,30,优,0
4,杭州,2020/8/5,35,27,阴~多云,南风,3级,26,优,0
5,杭州,2020/8/6,34,28,多云,西南风,3级,27,优,0
6,杭州,2020/8/7,34,27,阴~小雨,西南风,3级,38,优,0
7,杭州,2020/8/8,33,26,阴,西南风,2级,23,优,1
8,杭州,2020/8/9,35,27,多云,西南风,2级,33,优,1
9,杭州,2020/8/10,36,27,多云~阴,西南风,2级,43,优,0
10,杭州,2020/8/11,37,27,多云,南风,2级,50,优,0
11,杭州,2020/8/12,36,28,晴~多云,南风,3级,25,优,0
12,杭州,2020/8/13,37,28,多云~晴,西南风,3级,37,优,0
13,杭州,2020/8/14,38,27,多云~晴,西南风,2级,37,优,0
14,杭州,2020/8/15,39,28,晴,南风,2级,51,良,1
15,杭州,2020/8/16,38,27,晴,东南风,2级,38,优,1
16,杭州,2020/8/17,38,28,晴,东南风,2级,46,优,0
17,杭州,2020/8/18,36,28,晴,东南风,2级,48,优,0
18,杭州,2020/8/19,38,28,晴,东南风,2级,45,优,0
19,杭州,2020/8/20,38,27,晴,东南风,2级,53,良,0
20,杭州,2020/8/21,36,27,阴~多云,东风,2级,57,良,0
21,杭州,2020/8/22,37,27,多云,东南风,2级,46,优,1
22,杭州,2020/8/23,36,26,晴,东风,2级,36,优,1
23,杭州,2020/8/24,37,28,晴,东风,2级,58,良,0
24,杭州,2020/8/25,37,27,阴~小雨,西北风,2级,41,优,0
25,杭州,2020/8/26,35,26,小雨~多云,西北风,3级,35,优,0
26,杭州,2020/8/27,33,23,阴~小雨,东北风,2级,43,优,0
27,杭州,2020/8/28,29,25,大雨~小雨,西北风,2级,32,优,0
28,杭州,2020/8/29,29,23,小雨~多云,西北风,2级,27,优,1
29,杭州,2020/8/30,35,25,多云~晴,东风,2级,58,良,1
30,杭州,2020/8/31,34,26,多云~阴,东北风,2级,35,优,0
